subspace_size,qsci_energy
1,-2.375064123065409
2,-2.375064123065415
3,-2.3750641230657483
4,-2.3750641230657954
5,-2.3750641230659437
6,-2.3752589572770098
7,-2.375304511006497
8,-2.387062476776778
9,-2.3870662500017765
10,-2.387066250011455
11,-2.3871395068007675
12,-2.394262576773168
13,-2.3970096255570166
14,-2.3978368743435063
15,-2.398414320153425
16,-2.4043498382487014
17,-2.4074542019923797
18,-2.411323460224128
19,-2.4116937330239274
20,-2.429097668232605
21,-2.4663470911184873
22,-2.470732892688625
23,-2.475512642135606
24,-2.477420340316881
25,-2.4774634295135978
26,-2.4793807698843686
27,-2.48263029864134
28,-2.483553507425596
29,-2.484764547115249
30,-2.5034058036922153
31,-2.5069618859193508
32,-2.514528389995747
33,-2.5247288806752515
34,-2.5285699558566317
35,-2.5308901262053016
36,-2.5363880611368863
37,-2.5399219558330217
38,-2.5453058934230812
39,-2.549630237541676
40,-2.551974401642601
41,-2.5534090126068056
42,-2.555919743157397
43,-2.564058930979506
44,-2.578729191213792
45,-2.5810264288151608
46,-2.582937919518937
47,-2.5845993930246576
48,-2.5874265089958115
49,-2.591618891705865
50,-2.593804566750117
51,-2.5949686819327615
52,-2.596862408446351
53,-2.602348371813447
54,-2.6050791918359195
55,-2.606199478926299
56,-2.6105698682883887
57,-2.613939498713759
58,-2.6172223584057255
59,-2.6189552639245823
60,-2.62130159398287
61,-2.62363710610761
62,-2.628643104831858
63,-2.632356526542631
64,-2.6335398041852205
65,-2.6353520241656185
66,-2.636706513850424
67,-2.638503193683979
68,-2.64019736676161
69,-2.642850167442604
70,-2.64484165360761
71,-2.6457665644774337
72,-2.64929256227611
73,-2.6516170007340323
74,-2.6529348695889063
75,-2.653891903011512
76,-2.6571874733307466
77,-2.6598147882365426
78,-2.661656137581857
79,-2.663599616700053
80,-2.665717232114295
81,-2.669469541759081
82,-2.670953826621064
83,-2.67302136368485
84,-2.6749002546658294
85,-2.676081062859863
86,-2.6797287274057187
87,-2.6817914494332946
88,-2.682516340570337
89,-2.685416410802083
90,-2.687061126898921
91,-2.689594490768208
92,-2.691590370168748
93,-2.6935292168857727
94,-2.6946873350652454
95,-2.6978201128896324
96,-2.699586629366041
97,-2.701565955632267
98,-2.703318187011584
99,-2.7047677032109663
100,-2.7057914314640117
101,-2.7070434615002994
102,-2.709151914546344
103,-2.709559215401308
104,-2.7113512341591934
105,-2.7120140088147378
106,-2.714009204009911
107,-2.715713978878292
108,-2.717010855290059
109,-2.719645318371065
110,-2.7203850069019904
111,-2.7212851139646492
112,-2.722846941767351
113,-2.724104722085826
114,-2.724647108675382
115,-2.7262171098850487
116,-2.727314697959649
117,-2.728451365983648
118,-2.7298676397298425
119,-2.7309243422631053
120,-2.732015205828018
121,-2.733023425792687
122,-2.7336115295463346
123,-2.7340857245110795
124,-2.7355249195399383
125,-2.736388530225954
126,-2.736932841839134
127,-2.7378206908661102
128,-2.7398000997739143
129,-2.7405849526480264
130,-2.742315274378826
131,-2.743406000662866
132,-2.744797372372332
133,-2.7462329619571126
134,-2.747455081812171
135,-2.7477478992738797
136,-2.7487901236992784
137,-2.7493844035871997
138,-2.749837871783398
139,-2.7502725516675457
140,-2.751127248060468
141,-2.751864420763953
142,-2.7531884875516535
143,-2.7547816478969853
144,-2.756447214031064
145,-2.757269309768898
146,-2.7578463990925575
147,-2.758292443969333
148,-2.7590883959708625
149,-2.7598338008399095
