subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
1,-2.3750641230654117,-2.3750641230654117,20.03491937497813
2,-2.3750641230654175,-2.413689160110921,26.440333686398862
3,-2.3750641230657514,-2.4430447710472536,27.98298335645572
4,-2.375064123065797,-2.464789032238326,34.09032858850026
5,-2.3750641230659464,-2.4810986854302413,35.34394141763724
6,-2.375258957277011,-2.4960903616709165,37.486789745244714
7,-2.375304511006498,-2.5104988680878786,41.09335792096459
8,-2.387062476776781,-2.5110746858452107,44.989433023855824
9,-2.387066250001778,-2.511879456103025,47.614321757616324
10,-2.387066250011463,-2.5240862434613036,50.637465795678196
11,-2.3871395068007732,-2.5324699694973853,57.63803716852316
12,-2.3942625767731722,-2.5492817621398176,60.13932744070622
13,-2.3970096255570175,-2.5492817621398043,63.22591604688009
14,-2.397836874343507,-2.5540414783527057,63.785481549751
15,-2.398414320153428,-2.5657987194817857,66.82689695988869
16,-2.404349838248702,-2.5775114616230774,69.92222170257988
17,-2.4074542019923806,-2.585258979215909,70.72588294731314
18,-2.411323460224129,-2.589144382382268,76.06563856044848
19,-2.4116937330239416,-2.5926238420788614,76.99444869966055
20,-2.4290976682326115,-2.5967391982470676,80.50365487369575
21,-2.46634709111849,-2.5982650673262357,81.22123146376926
22,-2.4707328926886345,-2.6072758792887525,83.44003220674671
23,-2.4755126421356075,-2.616732683560673,88.30830428227988
24,-2.477420340316873,-2.6244189350037197,89.3304131213663
25,-2.4774634295135987,-2.6284323591007,90.1504417469347
26,-2.4793807698843797,-2.6314881610468572,93.92351512463341
27,-2.4826302986413444,-2.633373342257941,94.74637746161054
28,-2.4835535074256003,-2.6363684473807485,101.68023993428751
29,-2.4847645471152457,-2.638820077863222,103.86183578813026
30,-2.503405803692219,-2.6401005080771283,104.17632822716216
31,-2.5069618859193517,-2.641631762372125,107.18867503925965
32,-2.5145283899957414,-2.6472970031199714,107.84495511189884
33,-2.5247288806752413,-2.652636204205998,111.53791193331513
