subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
1,-2.934716780193649,-2.934716780193649,3.1540605853997405
2,-2.934716780193649,-3.051787988490778,4.38951414815298
3,-3.037394651150919,-3.06116127906316,4.389516582925113
4,-3.0517879884907804,-3.070383207892312,6.108901405855502
5,-3.051787988490777,-3.0835264117907535,197.13323153274723
6,-3.0517879884907795,-3.0963287185978166,197.13328657135224
7,-3.05178798849078,-3.0975304307944733,230.449401511392
8,-3.051787988490777,-3.098761709809662,230.44940633203046
9,-3.0546404609075926,-3.099793885321343,262.27657542272743
10,-3.057484775332595,-3.1008517153086377,262.27669345739747
11,-3.06015612752887,-3.102222073182812,274.350820301203
12,-3.062938776484067,-3.103708408646383,274.3510490753015
13,-3.0662747952494445,-3.1059249906004776,320.71702560516894
14,-3.069619441618109,-3.108302665196126,320.7171967913293
15,-3.0744379151244967,-3.1112626706997366,321.7246204065193
16,-3.0794043288866058,-3.11359812282317,321.7247997406355
17,-3.0794043288866066,-3.1167935557690036,365.01114214206456
18,-3.0794043288866004,-3.1201213724784003,365.0111803369053
19,-3.0794043288866044,-3.1223247907561094,447.7452218092771
20,-3.0794043288866058,-3.1236763043096505,447.7452230342054
21,-3.0802724443577474,-3.1251040760442512,1094.8610051733228
22,-3.0809065395092077,-3.126552042312617,1094.8711769161216
23,-3.080906539509202,-3.127318152181937,1523.7208488372144
24,-3.080906539509193,-3.127892598344644,1523.73585006166
25,-3.081824627171372,-3.1294320689470543,1525.7920515518576
26,-3.0825710239716195,-3.131514548776854,1525.818615899709
27,-3.0825710239716106,-3.133688193747946,2123.4498612313037
28,-3.08257102397161,-3.1351123635693106,2123.4856530690668
29,-3.0848169337816627,-3.1359525539432203,12321.108226130202
30,-3.084932188854196,-3.1366453330805575,14290.172904543526
31,-3.0850477775772696,-3.137497805425914,14290.176562131192
32,-3.0872696011539147,-3.138396174347265,14403.412361519564
33,-3.089528688000577,-3.139241199511643,14403.416684176507
34,-3.0895286880005757,-3.140074417340786,16392.655584284446
35,-3.0895286880005806,-3.140381319251626,16392.667538366586
36,-3.0919295847851975,-3.1405504916745377,16837.63717593311
37,-3.0919295847852046,-3.1406251463057266,18818.162177153878
38,-3.0919295847852033,-3.1408388470792428,18819.074374461878
39,-3.0919295847852117,-3.14105387655261,19101.938978123486
40,-3.09192958478521,-3.141262777117158,19101.947464520752
41,-3.091929584785207,-3.1414728911089704,19163.06914989245
42,-3.091929584785199,-3.141519239765586,19163.07737315828
43,-3.0919295847852055,-3.141559459125272,19887.67001953334
44,-3.091929584785198,-3.14160463547069,19887.686141086862
45,-3.0919295847851918,-3.1416463681491034,20108.24217453816
46,-3.091929584785209,-3.1416870406218234,20108.25899729619
47,-3.0934810726390856,-3.141721607681965,21809.673945906277
48,-3.0934810726390727,-3.1418041317135152,21886.138732064028
49,-3.093481072639075,-3.1418879948785934,21886.933507243262
50,-3.0934810726390762,-3.1419338191253243,23506.60228858086
51,-3.093481072639081,-3.141975606847026,23506.614899791293
52,-3.0935291183341915,-3.142036989808443,26189.298746879405
53,-3.0935688927405005,-3.142098894660892,26190.553727544902
54,-3.0936843377910312,-3.142173524791815,26584.228927283595
55,-3.0938001234264956,-3.1422487169944158,26584.23186245483
56,-3.0952248856699676,-3.142292391605799,26753.09093130942
57,-3.0966773370287215,-3.1423325405748908,26753.09380394871
58,-3.096786425783899,-3.1424619754099594,30458.99500394609
59,-3.096881795890847,-3.1425426601631856,30460.117990170875
