subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
1,-2.3684212842799957,-2.3684212842799957,-2.3684212842799957,1.6790527993250282
2,-2.4124392414061795,-2.4124392414061795,-2.4124392414061795,6.469487777813191
3,-2.434466278620949,-2.4344662786209508,-2.4344662786209526,27.939832275283848
4,-2.4446257462912886,-2.444625746291286,-2.4871845549746636,31.100736306310683
5,-2.445938816722493,-2.4459388167224954,-2.5334198157025885,48.79439238526184
6,-2.447290768288772,-2.4630154597069964,-2.5570312336105165,48.79439238526184
7,-2.455237303295163,-2.4635693788260538,-2.5980858084936287,48.79439238526184
8,-2.4635483574135844,-2.4817115097720936,-2.6338216476590457,48.79439238526184
9,-2.467537017973703,-2.4838426126243234,-2.648570175915605,48.79439238526184
10,-2.47457154514059,-2.4872695277464443,-2.648880840571766,48.79439238526184
11,-2.476018381430387,-2.504040472026845,-2.6492586938536733,55.58465923270741
12,-2.4775033779496156,-2.5175364158072515,-2.6597513177292003,55.58465923270741
13,-2.4791171869249893,-2.544451168328492,-2.6603461791240646,55.58465923270741
14,-2.4795240532753637,-2.5558592203626587,-2.689218006888862,55.58465923270741
15,-2.4798235276774485,-2.5805209180137254,-2.7168830145238347,55.58465923270741
16,-2.480356420027684,-2.5836709933010678,-2.7173088680665995,55.58465923270741
17,-2.4807576906350834,-2.5980642928536715,-2.7178010595986617,70.74201264141291
18,-2.480974439284288,-2.6035592750761984,-2.7354108019708736,94.38392057340207
19,-2.4813832960811157,-2.6127620430057172,-2.753253739113519,183.4724282558095
20,-2.514347473336073,-2.613463050928443,-2.7688042731063356,183.4724282558095
21,-2.552633550418605,-2.6156612082217277,-2.784437307088563,183.4724282558095
22,-2.5580530057306197,-2.618611380970889,-2.792861465760505,183.4724282558095
23,-2.568300833259295,-2.6254857854651923,-2.7930092954198282,183.4724282558095
24,-2.5891241121952064,-2.6266750511647037,-2.7931733518507578,183.4724282558095
25,-2.6090361189546343,-2.6317519067531534,-2.8110792105865112,198.9441857255063
26,-2.6099685340191394,-2.631801891174875,-2.829282563546873,211.04464094976862
27,-2.642448073466683,-2.631839189691228,-2.829315664264041,211.04464094976862
28,-2.675201003309076,-2.6319005294187043,-2.829380393561182,211.82539811729492
29,-2.6798895416199078,-2.6319472189694393,-2.8294510828142685,211.82539811729492
30,-2.684653724337481,-2.632640753805397,-2.8294978420157744,357.5751551356811
31,-2.6889029723948625,-2.6336917862840274,-2.8295418461679045,401.3294050192627
32,-2.6931984453675457,-2.647620352617923,-2.8295780755232895,427.8493372879929
33,-2.6935310598812654,-2.7030061923222046,-2.829626455366465,427.8493372879929
34,-2.693780406283212,-2.7071357051415617,-2.829666983102927,427.8493372879929
35,-2.693887459853496,-2.722714644989437,-2.8297222618941,427.8493372879929
36,-2.6940009478674893,-2.759767983289721,-2.8297819334235905,427.8493372879929
37,-2.694360182699417,-2.764708823709772,-2.829893600409849,427.8493372879929
38,-2.694642330651528,-2.767432026286253,-2.83001895587388,464.1778231308392
39,-2.6947926085386227,-2.7816119029117172,-2.83015533086828,988.506656009618
40,-2.694954202943277,-2.7830558380713097,-2.83033023669963,988.506656009618
